Applid,Date,ResTime,ColTime,ASCPU,ASSRB,ICV,ICVR,QRCPU,QRDsp,QRCPUUtilRatio%,QRDispUtilRatio%,QRDispRatio%,L8CPU,L8Dsp,L8CPUUtilRatio%,L8DispUtilRatio%,L8DispRatio%,ASTCBUtilRatio%,ASSRBCPUUtilRatio%,CPUPerUsrTran,PkOpTCB,MAXOpTCB,OpTCBRatio%
BP16PAA2,01/11/2016,06:00:00,08:00:00,00:01:20.795270,00:00:00.378412,10000,500,00:00:09.470464,00:00:11.381272,0.13,0.16,83.21,00:01:09.454527,00:03:41.896581,0.96,3.08,31.30,1.12,0.01,0.005832,6,232,2.59
BP16PAA2,01/11/2016,08:00:00,10:00:00,00:12:48.287063,00:00:02.750318,10000,500,00:01:23.835908,00:01:41.068844,1.16,1.40,82.95,00:11:07.899133,00:36:15.547637,9.28,30.22,30.70,10.67,0.04,0.005644,10,232,4.31
BP16PAA2,01/11/2016,10:00:00,12:00:00,00:23:58.145809,00:00:04.975473,10000,500,00:02:21.818396,00:02:51.398815,1.97,2.38,82.74,00:21:06.144338,01:03:20.759307,17.59,52.79,33.31,19.97,0.07,0.006284,14,232,6.03
BP16PAA2,01/11/2016,12:00:00,14:00:00,00:20:45.532165,00:00:03.761888,10000,500,00:01:49.613334,00:02:12.829771,1.52,1.84,82.52,00:18:33.933316,00:52:58.868978,15.47,44.15,35.04,17.30,0.05,0.006880,13,232,5.60
BP16PAA2,01/11/2016,14:00:00,16:00:00,00:22:11.474311,00:00:04.248748,10000,500,00:02:17.659172,00:02:45.337308,1.91,2.30,83.26,00:19:26.485135,00:53:25.477480,16.20,44.52,36.39,18.49,0.06,0.006014,13,232,5.60
BP16PAA2,01/11/2016,16:00:00,18:00:00,00:24:20.453161,00:00:04.149167,10000,500,00:02:14.818161,00:02:44.563336,1.87,2.29,81.92,00:21:40.667920,00:59:16.316469,18.06,49.39,36.57,20.28,0.06,0.007361,13,232,5.60
BP16PAA2,01/11/2016,18:00:00,20:00:00,00:19:48.583857,00:00:02.761048,10000,500,00:01:18.672682,00:01:35.102237,1.09,1.32,82.72,00:18:14.533965,00:43:49.023901,15.20,36.51,41.63,16.51,0.04,0.009879,11,232,4.74
BP16PAA2,01/11/2016,20:00:00,22:00:00,00:19:53.353343,00:00:02.226637,10000,500,00:00:58.998973,00:01:16.181278,0.82,1.06,77.45,00:18:42.108224,00:48:20.063792,15.58,40.28,38.69,16.57,0.03,0.012687,9,232,3.88
BP16PAA6,01/11/2016,06:00:00,08:00:00,00:01:19.191572,00:00:00.369584,10000,500,00:00:09.391553,00:00:11.233276,0.13,0.16,83.60,00:01:07.933326,00:03:23.218560,0.94,2.82,33.43,1.10,0.01,0.005818,6,232,2.59
BP16PAA6,01/11/2016,08:00:00,10:00:00,00:12:43.716307,00:00:02.634586,10000,500,00:01:24.113212,00:01:41.414245,1.17,1.41,82.94,00:11:02.994564,00:33:52.715498,9.21,28.23,32.62,10.61,0.04,0.005605,9,232,3.88
BP16PAA6,01/11/2016,10:00:00,12:00:00,00:23:50.074677,00:00:04.605153,10000,500,00:02:21.774698,00:02:51.035213,1.97,2.38,82.89,00:21:00.204592,01:10:45.321370,17.50,58.96,29.68,19.86,0.06,0.006270,14,232,6.03
BP16PAA6,01/11/2016,12:00:00,14:00:00,00:20:31.785143,00:00:03.762569,10000,500,00:01:50.352970,00:02:13.521214,1.53,1.85,82.65,00:18:19.407840,00:51:25.661029,15.27,42.86,35.63,17.11,0.05,0.006771,15,232,6.47
BP16PAA6,01/11/2016,14:00:00,16:00:00,00:22:02.101513,00:00:04.192409,10000,500,00:02:17.732792,00:02:45.032392,1.91,2.29,83.46,00:19:17.110869,00:57:36.096633,16.07,48.00,33.48,18.36,0.06,0.005983,15,232,6.47
BP16PAA6,01/11/2016,16:00:00,18:00:00,00:24:18.853028,00:00:03.956642,10000,500,00:02:13.162907,00:02:44.030156,1.85,2.28,81.18,00:21:40.728534,00:58:44.421479,18.07,48.95,36.91,20.26,0.05,0.007464,12,232,5.17
BP16PAA6,01/11/2016,18:00:00,20:00:00,00:19:57.367591,00:00:02.731637,10000,500,00:01:18.703522,00:01:35.400211,1.09,1.33,82.50,00:18:23.122531,00:42:37.665521,15.32,35.52,43.13,16.63,0.04,0.009886,11,232,4.74
BP16PAA6,01/11/2016,20:00:00,22:00:00,00:19:47.862318,00:00:02.208776,10000,500,00:00:58.596638,00:01:15.973692,0.81,1.06,77.13,00:18:36.995266,00:47:55.018769,15.51,39.93,38.85,16.50,0.03,0.012613,9,232,3.88
BP17PAAC,01/11/2016,06:00:00,08:00:00,00:01:16.636934,00:00:00.339545,10000,500,00:00:08.917085,00:00:10.840868,0.12,0.15,82.25,00:01:05.946859,00:03:22.703349,0.92,2.82,32.53,1.06,0.00,0.005652,6,232,2.59
BP17PAAC,01/11/2016,08:00:00,10:00:00,00:12:22.173382,00:00:02.528779,10000,500,00:01:22.187168,00:01:39.793988,1.14,1.39,82.36,00:10:43.889284,00:39:51.364423,8.94,33.21,26.93,10.31,0.04,0.005444,16,232,6.90
